date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:55	78871/78871	---M-Z	200	added ('OK')	text/html	etag:W/%22135550dac71d16dafcf9c5ec79fbe708%22	https://www.peinture-delemer.fr/revetements-interieurs-bonsecours-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-bonsecours-76240.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:55	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:55%20GMT	http://www.peinture-delemer.fr/revetements-interieurs-bihorel-76420	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-bihorel-76420	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:56	78955/78955	---M-Z	200	added ('OK')	text/html	etag:W/%220d96d1cb7ea4c49dec7813423c96045a%22	https://www.peinture-delemer.fr/revetements-interieurs-bihorel-76420	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-bihorel-76420.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:56	135/135	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:55%20GMT	http://www.peinture-delemer.fr/revetements-interieurs-darnetal-76160	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-darnetal-76160	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:57	78702/78702	---M-Z	200	added ('OK')	text/html	etag:W/%229de4028368b5e967f0115bad54945af3%22	https://www.peinture-delemer.fr/revetements-interieurs-darnetal-76160	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-darnetal-76160.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:57	153/153	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:56%20GMT	http://www.peinture-delemer.fr/revetements-interieurs-saint-leger-du-bourg-denis-76160	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-saint-leger-du-bourg-denis-76160	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:57	79416/79416	---M-Z	200	added ('OK')	text/html	etag:W/%221849b57af9e976b8a8f5436796e9b2a9%22	https://www.peinture-delemer.fr/revetements-interieurs-saint-leger-du-bourg-denis-76160	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-saint-leger-du-bourg-denis-76160.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:57	147/147	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:57%20GMT	http://www.peinture-delemer.fr/revetements-interieurs-sotteville-les-rouen-76300	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-sotteville-les-rouen-76300	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:58	79144/79144	---M-Z	200	added ('OK')	text/html	etag:W/%2273379eede462281ce07c8f33440e9b18%22	https://www.peinture-delemer.fr/revetements-interieurs-sotteville-les-rouen-76300	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-sotteville-les-rouen-76300.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:58	141/141	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:58%20GMT	http://www.peinture-delemer.fr/revetements-interieurs-bois-guillaume-76230	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-bois-guillaume-76230	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:58	79050/79050	---M-Z	200	added ('OK')	text/html	etag:W/%223c5d29a741020de8538838adf81e723e%22	https://www.peinture-delemer.fr/revetements-interieurs-bois-guillaume-76230	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-bois-guillaume-76230.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:58	144/144	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:58%20GMT	http://www.peinture-delemer.fr/revetements-interieurs-mont-saint-aignan-76130	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-mont-saint-aignan-76130	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:59	78978/78978	---M-Z	200	added ('OK')	text/html	etag:W/%2262f839113527fbec2aaec2e0ce73e750%22	https://www.peinture-delemer.fr/revetements-interieurs-mont-saint-aignan-76130	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-mont-saint-aignan-76130.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:59	143/143	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:59%20GMT	http://www.peinture-delemer.fr/revetements-interieurs-le-mesnil-esnard-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-le-mesnil-esnard-76240	(from https://www.peinture-delemer.fr/plan-du-site)
21:23:00	79311/79311	---M-Z	200	added ('OK')	text/html	etag:W/%22dc76623d471b46b3a756ba7db06312b1%22	https://www.peinture-delemer.fr/revetements-interieurs-le-mesnil-esnard-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-interieurs-le-mesnil-esnard-76240.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:23:00	124/124	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:59%20GMT	http://www.peinture-delemer.fr/isolation-bonsecours-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/isolation-bonsecours-76240	(from https://www.peinture-delemer.fr/plan-du-site)
21:23:01	78483/78483	---M-Z	200	added ('OK')	text/html	etag:W/%229b6f49ba6eed5ca31e88068856f00416%22	https://www.peinture-delemer.fr/isolation-bonsecours-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/isolation-bonsecours-76240.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:23:01	121/121	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:23:00%20GMT	http://www.peinture-delemer.fr/isolation-bihorel-76420	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/isolation-bihorel-76420	(from https://www.peinture-delemer.fr/plan-du-site)
